Person,Contribution,Creator_role,Notes
Victoria Ocampo,"""Al margen del 'Wagner' de Pourtalès"" (notas)",AU,
Jorge Luis Borges,"""Elementos de preceptiva"" (notas)",AU,
Ramón Gómez de la Serna,"""Lucubraciones sobre la muerte""",AU,
Ramón Gómez de la Serna,"""Logaritmos de imágenes"" (notas)",AU,
Julio Irazusta,"""La experiencia rusa de Waldo Frank"" (notas)",AU,
Jorge Santayana,"""Breve historia de mis opinions (traducción de Antonio Marichalar)""",AU,
Carlos Alberto Erro,"""Un filósofo americano: Waldo Frank"" ",AU,
Benjamin Jarnés,"""El cantaro""",AU,
Artur Kutscher,"""Balance del teatro alemán""",AU,
Wladimiro Acosta,"""El mundo de los hombres invisibles""",AU,
Jorge Luis Borges,"""Arte de injuriar""",AU,
Waldo Frank,"""Un gran poeta americano. Introducción a Hart Crane""",AU,
Leo Ferrero,"""Carta de Norteamerica de crisis de 'elites'"" ",AU,
Amado Alonso,"""El porvenir de nuestra lengua"" (notas)",AU,
Conde de Keyserling,"""La verdadera significación de Ludwig Klages""",AU,
Vicente Huidobro,"""El pasajero de su destino""",AU,
José Moreno Villa,"""Paisajes líricos a punta seca""",AU,
Ernesto Palacio,"""Catilina y la ambición política""",AU,
A. Rolland de Renéville,"""La imagen""",AU,
Homero M. Guglielmini,"""1. A propósito del libro de Keyserling""",AU,
José Luis Romero,"""2. Introducción a un sudamericanismo esencial""",AU,
Waldemar Bonsels,"""La esencia del animal"" (notas)",AU,
Victoria Ocampo,"""Leo Ferrero"" (notas)",AU,
Victoria Ocampo,"""Notícula"" (notas)",AU,
Victoria Ocampo,"""Sobres dos poetas de Francia: 'Anna de Noailles y su poesía' - 'Paul Valéry, ""El cementerio marino""'""",AU,
Waldo Frank,"""¿Por qué ha de sobrevivir el judío?""",AU,
Guillermo de Torre,"""La obra poética de Pedro Salinas"" (notas)",AU,
Eduardo Mallea,"""Suerte de Jacobo Uber""",AU,
Maurice Edgar Coindreau,"""La autobiografía de Gertrude Stein"" (notas)",AU,
Victoria Ocampo,"""Al margen de Gide""",AU,
Victoria Ocampo,"""I. 'Espoirs'"" (Homenaje a Leo Ferrero)",AU,
Victoria Ocampo,"""A propósito de 'Hombre de Aran'"" (notas)",AU,
Jorge Luis Borges,"""Los laberintos policiales y Chesterton"" (notas)",AU,
Francisco Luis Bernárdez,"""Dos momentos del poema 'El Buque'""",AU,
Amado Alonso,"""Ricardo Güiraldes"" (notas)",AU,
Amado Alonso,"""D. Salvador de Madariaga"" (notas)",AU,
C. G. Jung,"""Introducción al estudio de los tipos psicológicos""",AU,
Salvador de Madariaga,"""Alberdi Precursor"" ",AU,
Alfred Metraux,"""El universo y la naturaleza a través de las representaciones míticas de dos tribus salvajes de la argentina""",AU,
José Bianco,"""II. La novela de Leo Ferrero"" (Homenaje a Leo Ferrero)",AU,
Gervasio Guillot Muñoz,"""Revisión y Justiprecio del superrealismo"" (notas)",AU,
María Rosa Oliver,"""Sobre 'The Death and Birth of David Markand' de Waldo Frank"" (notas)",AU,
