Person,Contribution,Creator_role,Notes
Raimundo Lida,"""Elogio de Mairena""",AU,
Emile Gouiran,"""Letras Francesas. En torno a Rodin""",AU,
José Babini,"""La abstracción y la recta""",AU,
Attilio Rossi,"""Las exposiciones del mes""",AU,
,"""Mekhano""",AU,
Ivy Herczegh Konjovich,"""Casals en el Teatro Colón""",AU,
Victoria Ocampo,"""George Gershwin""",AU,
Enrique Anderson Imbert,"""María de Maeztu y Américo Castro""",AU,
Victoria Ocampo,"""Calendario. (Revista de temas del mes) (4)""",AU,
Conde de Keyserling,"""Un capítulo de mis Memorias - Rudolf Kassner (II)""",AU,
Erskine Caldwell,"""Te estamos mirando, Inés""",AU,
Henri Michaux,"""Aventuras""",AU,
Eduardo González Lanuza,"""Oda a la alegría""",AU,
Eduardo Mallea,"""Maestros extranjeros""",AU,
Guillermo de Torre,"""Por un arte integral""",AU,
Bernardo Canal Feijóo,"""Radiografías fatídicas""",AU,
Ernesto Palacio,"""La experiencia rusa de André Gide""",AU,
Luis de Elizalde,"""'El escalón'""",AU,
A. M. B.,"""Un libro de Swami Vivekananda""",AU,
Pedro Henríquez Ureña,"""Genaro Estrada""",AU,
Jorge Luis Borges,"""Verdes praderas""",AU,
Attilio Rossi,"""XXVII Salón Nacional de Bellas Artes""",AU,
Ivy Herczegh Konjovich,"""Estreno después de 158 años""",AU,
Victoria Ocampo,"""Calendario. (Revista de temas del mes) (5)""",AU,
Victoria Ocampo,"""Plagas. La langosta y los 'gangsters' de la edicione clendestinas"" (notas)",AU,
Jorge Luis Borges,"""De regreso"" (notas)",AU,
Benjamin Fondane,"""El poeta y el esquizofrénico. La conciencia vergonzosa del poeta (II)""",AU,
Silvina Ocampo,"""El cuaderno""",AU,
José Babini,"""Nuevos derroteros"" (notas)",AU,
Bernardo Canal Feijóo,"""Historia de una pasión argentina"" (notas)",AU,
Attilio Rossi,"""Las exposiciones del mes"" (notas)",AU,
Gabriela Mistral,"""Día""",AU,
George Bernard Shaw,"""Sovetismo""",AU,
Jorge Luis Borges,"""Luis Greve, muerto"" (notas)",AU,
