Periodical,year,number,date,printer,colophon,price,cover_color,arrow_color
Sur,10,67,1940-04-30,Imprenta Lopez,,$1.00,yellow-orange,creme
Sur,10,68,1940-05-31,Imprenta Lopez,,$1.00,teal,creme
Sur,10,69,1940-06-30,Imprenta Lopez,,$1.00,grey,creme
Sur,10,70,1940-07-31,Imprenta Lopez,,$1.00,red,creme
Sur,10,71,1940-08-31,Imprenta Lopez,,$1.00,orange,creme
Sur,10,72,1940-09-30,Imprenta Lopez,,$1.00,grey-blue,creme
Sur,10,73,1940-10-01,Imprenta Lopez,,$1.00,red-purple,creme
Sur,10,74,1940-11-30,Imprenta Lopez,,$1.00,brown,creme
Sur,10,75,1940-12-31,Imprenta Lopez,,$1.00,green,creme
Sur,10,76,1941-01-31,Imprenta Lopez,,$1.00,peach,creme
Sur,10,77,1941-02-28,Imprenta Lopez,,$1.00,yellow,creme
Sur,10,78,1941-03-31,Imprenta Lopez,,$1.00,light green,creme
