Title,Date,Notes,Place
"""Rite of Spring"" Premiere in Paris",1913-01-01,,"Paris, France"
Le Corbusier Conference,1929-01-01,Le Corbusier visited Buenos Aires and gave a conference,"Buenos Aires, Argentina"
Congreso Internacional de los escritores de P.E.N.,1936-06-23,International PEN club conference in Buenos Aires,"Buenos Aires, Argentina"
