People,Creator_role,Title,Notes
Riccardo Bacchelli,Author,El hijo de Stalin,
Caroline Gordon,Author,Los hijos extraños,
Massimo Bontempelli,Author,Gente en el tiempo,
E. M. Forster,Author,El paso a la India,
E. M. Forster,Author,Donde los ángeles no se aventuran,
Herman Kasack,Author,Falsificaciones,
H. A. Murena (Héctor Alberto Álvarez),Author,La fatalidad de los cuerpos,
Lanza del Vasto,Author,Vinoba o la nueva peregrinación,
Antonina Vallentin,Author,El drama de Alberto Einstein,
Anita Loos,Author,Gigi,
Sidonie-Gabrielle Colette,Author,Gigi,
T. E. Lawrence,Author,El troquel,
Alberto Mario Salas,Author,Relación parcial de Buenos Aires,
Graham Greene,Author,El fin de la aventura,
Alberto Girri,Author,Examen de nuestra causa,
H. A. Murena (Héctor Alberto Álvarez),Author,El centro del infierno,
Alexander Lernet-Holenia,Author,El Barón Bagge,
Henry de Montherlant,Author,Los solterones,
William Faulkner y Albert Camus,Author,Réquiem para una reclusa,
Graham Greene,Author,La casilla de las macetas,
Victoria Ocampo,Author,Testimonios. Quinta Serie. (1950-1957),
Alberto Girri,Author,La penitencia y el mérito,
Francisco Ayala,Author,El escritor en la sociedad de masas,
Joaquín O. Giannuzzi,Author,Nuestros días mortales,
H. A. Murena (Héctor Alberto Álvarez),Author,Las leyes de la noche,
H. A. Murena (Héctor Alberto Álvarez),Author,El círculo de los paraísos,
Graham Greene,Author,El amante complaciente,
Dylan Thomas,Author,Bajo el bosque de leche,
Victoria Ocampo,Author,Habla el algarrobo,
Alberto Girri,Author,Propiedades de la magia,
Eduardo Mallea,Author,1960,
Horacio Quiroga,Author,Anaconda - El salvaje - Pasado amor,
Jorge Luis Borges y Adolfo Bioy Casares,Author,Libro del cielo y del infierno,
Alberto Girri,Author,La condición necesaria,
Jorge Luis Borges,Author,Antología personal,
Thomas Mann,Author,La novela de una novela,
Ana Gándara,Author,La semilla muerta,
Victoria Ocampo,Author,Tagore en las barrancas de San Isidro,
H. A. Murena (Héctor Alberto Álvarez),Author,Homo Atomicus,
Fray Mocho (José Sixto Álvarez),Author,Cuentos con policias,
Giuseppe Faggin,Author,Las brujas,
Domingo F. Sarmiento,Author,Facundo o civilización y barbarie,
Domingo F. Sarmiento,Author,Recuerdos de provincia,
Alejandra Pizarnik,Author,Árbol de Diana,
Estanislao del Campo,Author,Fausto,
Jorge Vocos Lescano,Author,Y Dios dirá después,
Alberto Girri,Author,Elegías italianas,
Eduardo Mallea,Author,La guerra interior,
Francisco Ayala,Author,El As de Bastos,
Victoria Ocampo,Author,338.171. T. E.,
Victoria Ocampo,Author,Testimonios. Sexta Serie. (1957-1962),
Victoria Ocampo,Author,De Francesca a Beatrice,
Ricardo Molinari,Author,"Un día, el tiempo, las nubes",
H. A. Murena (Héctor Alberto Álvarez),Author,El demonio de la armonía,
Honario Bustos Domecq,Author,Seis problemas para don Isidro Parodi,
H. A. Murena (Héctor Alberto Álvarez),Author,Los herederos de la promesa,
Francisco Ayala,Author,"España, a la fecha",
Octavio Paz,Author,Los signos en rotación,
Víctor Alba,Author,Expresión del pensamiento contemporáneo,
Arturo Aldunate Phillips,Author,Expresión del pensamiento contemporáneo,
Raymond Aron,Author,Expresión del pensamiento contemporáneo,
Francisco Ayala,Author,Expresión del pensamiento contemporáneo,
Círo Alegría,Author,Expresión del pensamiento contemporáneo,
Damián Carlos Bayón,Author,Expresión del pensamiento contemporáneo,
Jorge Luis Borges,Author,Expresión del pensamiento contemporáneo,
Jorge Carrera Andrade,Author,Expresión del pensamiento contemporáneo,
Oscar Delgado,Author,Expresión del pensamiento contemporáneo,
José Enrique Miguens,Author,Expresión del pensamiento contemporáneo,
Jorge Guillén,Author,Expresión del pensamiento contemporáneo,
