Name,Place
Biblioteca Nacional Mariano Moreno,"Buenos Aires, Argentina"
Princeton University,"Princeton, New Jersey"
Harvard University,"Cambridge, Massachusetts"
Villa Ocampo,"Beccar, Argentina"
University of Virginia,"Charlottesville, Virginia"
